scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max
352	60.0	0.75	10.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
353	120.0	0.75	10.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
354	60.0	0.25	15.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
355	120.0	0.25	15.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
356	60.0	0.5	15.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
357	120.0	0.5	15.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
358	60.0	0.75	15.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
359	120.0	0.75	15.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
360	60.0	0.25	10.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
361	120.0	0.25	10.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
362	60.0	0.5	10.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
363	120.0	0.5	10.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
364	60.0	0.75	10.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
365	120.0	0.75	10.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
366	60.0	0.25	15.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
367	120.0	0.25	15.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
368	60.0	0.5	15.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
369	120.0	0.5	15.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
370	60.0	0.75	15.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
371	120.0	0.75	15.0	0.5	5.0	0.75	0.003	0.5	2.0	5.0
372	60.0	0.25	10.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
373	120.0	0.25	10.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
374	60.0	0.5	10.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
375	120.0	0.5	10.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
376	60.0	0.75	10.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
377	120.0	0.75	10.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
378	60.0	0.25	15.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
379	120.0	0.25	15.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
380	60.0	0.5	15.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
381	120.0	0.5	15.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
382	60.0	0.75	15.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
383	120.0	0.75	15.0	0.8	5.0	0.75	0.003	0.5	2.0	5.0
384	60.0	0.25	10.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
385	120.0	0.25	10.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
386	60.0	0.5	10.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
387	120.0	0.5	10.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
388	60.0	0.75	10.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
